ID,EDO,MES,ANIO,MPIO,HORA,MINUTOS,DIA,DIASEMANA,URBANA,SUBURBANA,TIPACCID,AUTOMOVIL,CAMPASAJ,MICROBUS,PASCAMION,OMNIBUS,TRANVIA,CAMIONETA,CAMION,TRACTOR,FERROCARRI,MOTOCICLET,BICICLETA,OTROVEHIC,CAUSAACCI,CAPAROD,SEXO,ALIENTO,CINTURON,EDAD,CONDMUERTO,CONDHERIDO,PASAMUERTO,PASAHERIDO,PEATMUERTO,PEATHERIDO,CICLMUERTO,CICLHERIDO,OTROMUERTO,OTROHERIDO,TOTMUERTOS,TOTHERIDOS,CLASE,CALLE1,CALLE2,CARRETERA,LONGITUD,LATITUD,geometry
1180534-999-114,26,2,2024,30,18,40,4,7,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,6,9,0,1,0,0,0,0,0,0,0,0,0,1,0,1,CULTURA,SOLIDARIDAD,,-110.9691116,29.06660401,POINT (-110.9691116 29.06660401)
1180534-999-551,26,2,2024,30,7,0,18,7,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,9,34,1,0,0,0,0,0,0,0,0,0,1,0,1,SAN PEDRO EL SAUCITO - ESTACIÓN PESQUEIRA,,,-110.889048,29.17817285,POINT (-110.889048 29.17817285)
1180534-999-618,26,2,2024,30,7,15,20,2,0,2,10,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,2,5,9,42,1,0,0,0,0,0,0,0,0,0,1,0,1,CARRETERA A LA VICTORIA,ENRIQUE MAZÓN LÓPEZ,,-110.9124421,29.1289357,POINT (-110.9124421 29.1289357)
1180534-999-768,26,2,2024,30,4,15,25,7,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,19,0,0,1,1,0,0,0,0,0,0,1,1,1,ALFÉREZ JUAN BAUTISTA DE ESCALANTE,JOSÉ ALBERTO HEALY NORIEGA,,-110.9963085,29.14398907,POINT (-110.9963085 29.14398907)
1180534-999-829,26,2,2024,30,20,36,26,1,1,0,10,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,5,9,19,1,0,0,0,0,0,0,0,0,0,1,0,1,JESÚS GARCÍA MORALES,JUAN DE DIOS BOJÓRQUEZ,,-111.0086961,29.09478848,POINT (-111.0086961 29.09478848)
1178550-999-500,26,3,2024,30,6,38,15,5,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,2,5,9,45,0,0,0,0,0,0,1,0,0,0,1,0,1,JOSÉ MARÍA ESCRIBA,LUCRECIA RUÍZ DE AYÓN,,-110.9776735,29.1494377,POINT (-110.9776735 29.1494377)
1178550-999-789,26,3,2024,30,5,35,26,2,2,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,5,9,43,1,0,0,0,0,0,0,0,0,0,1,0,1,HERMOSILLO - NOGALES,,HERMOSILLO - NOGALES,-110.909607,29.15613952,POINT (-110.909607 29.15613952)
1178550-999-895,26,3,2024,30,13,50,27,3,0,2,11,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,5,9,53,0,0,0,0,0,0,1,0,0,0,1,0,1,HERMOSILLO - BAHÍA KINO,,HERMOSILLO - BAHÍA KINO,-111.6923925,28.83149442,POINT (-111.6923925 28.83149442)
1178550-999-718,26,3,2024,30,6,0,29,5,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,5,9,99,0,0,0,0,1,0,0,0,0,0,1,0,1,CARRETERA A SAHUARIPA,CALLE DE LA PLATA,,-110.910772,29.02988115,POINT (-110.910772 29.02988115)
1182749-999-0,26,4,2024,30,18,0,11,4,2,0,10,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,5,9,39,0,1,1,0,0,0,0,0,0,0,1,1,1,GASPAR LUKEN ESCALANTE,ISRAEL,,-111.0356544,29.1213406,POINT (-111.0356544 29.1213406)
1182749-999-372,26,4,2024,30,1,44,13,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,49,1,0,0,0,1,0,0,0,0,0,2,0,1,LUIS ENCINAS JOHNSON,LUIS ENCINAS JOHNSON,,-110.9889456,29.09381401,POINT (-110.9889456 29.09381401)
