ID,EDO,MES,ANIO,MPIO,HORA,MINUTOS,DIA,DIASEMANA,URBANA,SUBURBANA,TIPACCID,AUTOMOVIL,CAMPASAJ,MICROBUS,PASCAMION,OMNIBUS,TRANVIA,CAMIONETA,CAMION,TRACTOR,FERROCARRI,MOTOCICLET,BICICLETA,OTROVEHIC,CAUSAACCI,CAPAROD,SEXO,ALIENTO,CINTURON,EDAD,CONDMUERTO,CONDHERIDO,PASAMUERTO,PASAHERIDO,PEATMUERTO,PEATHERIDO,CICLMUERTO,CICLHERIDO,OTROMUERTO,OTROHERIDO,TOTMUERTOS,TOTHERIDOS,CLASE,CALLE1,CALLE2,CARRETERA,LONGITUD,LATITUD,geometry
1178472-999-847,26,1,2024,30,2,0,1,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,33,0,0,0,0,0,0,0,0,0,0,0,0,3,PERIFÉRICO ORIENTE,SALAMANCA,,-110.9311376,29.09304635,POINT (-110.9311376 29.09304635)
1178472-999-11,26,1,2024,30,2,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,9,44,0,0,0,0,0,0,0,0,0,0,0,0,3,JOSÉ LÓPEZ PORTILLO,ARIZONA,,-110.9782044,29.1241183,POINT (-110.9782044 29.1241183)
1178472-999-857,26,1,2024,30,6,15,1,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,EMILIANO ZAPATA,NICOLÁS BRAVO,,-111.4875491,28.84548992,POINT (-111.4875491 28.84548992)
1178472-999-713,26,1,2024,30,8,50,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,5,9,29,0,0,0,0,0,0,0,0,0,0,0,0,3,SOLIDARIDAD,SOLIDARIDAD,,-110.9960329,29.13983844,POINT (-110.9960329 29.13983844)
1178472-999-729,26,1,2024,30,11,50,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,GASPAR LUKEN ESCALANTE,JERUSALEM,,-111.0342204,29.12153626,POINT (-111.0342204 29.12153626)
1178472-999-165,26,1,2024,30,12,4,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,26,0,0,0,0,0,0,0,0,0,0,0,0,3,IGNACIO SALAZAR,REPÚBLICA DE PANAMÁ,,-111.0055473,29.11622853,POINT (-111.0055473 29.11622853)
1178472-999-356,26,1,2024,30,14,20,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,SOLIDARIDAD,SAN RAFAEL,,-110.994458,29.13627994,POINT (-110.994458 29.13627994)
1178472-999-546,26,1,2024,30,15,34,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,31,0,0,0,0,0,0,0,0,0,0,0,0,3,LÁZARO CÁRDENAS DEL RÍO,MARGARITA MAZA DE JUÁREZ,,-110.9884887,29.12206424,POINT (-110.9884887 29.12206424)
1178472-999-496,26,1,2024,30,16,30,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,51,0,0,0,0,0,0,0,0,0,0,0,0,3,JOSÉ SANTIAGO HEALY,DOCTOR DOMINGO OLIVARES,,-110.9786751,29.09958439,POINT (-110.9786751 29.09958439)
1178472-999-495,26,1,2024,30,16,30,1,1,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,EL TRONCONAL - SAN MIGUEL DE HORCASITAS,,EL TRONCONAL - SAN MIGUEL DE HORCASITAS,-110.8597542,29.2104687,POINT (-110.8597542 29.2104687)
1178472-999-901,26,1,2024,30,16,40,1,1,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,GENERAL LÁZARO CÁRDENAS,EDUARDO SÁNCHEZ,,-110.99351,29.04273825,POINT (-110.99351 29.04273825)
1178472-999-261,26,1,2024,30,18,10,1,1,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,SANTA TERESA DE JESÚS,PAULINA CÁZARES,,-111.0275455,29.12773927,POINT (-111.0275455 29.12773927)
1178472-999-518,26,1,2024,30,18,30,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,5,9,18,0,0,0,0,0,0,0,0,0,0,0,0,3,LÁZARO CÁRDENAS DEL RÍO,SOLIDARIDAD,,-110.9924001,29.124385,POINT (-110.9924001 29.124385)
